name,num_parts,num_vertices,num_edges,part_time,sys_time,comm_vol,edge_cut,avg_part_size,std_part_size,min_part_size,max_part_size,perf_time,perf_total_time,perf_std
com-orkut.ungraph.txt.metis,256,3072441,117185083,3392.594404,0.660417s,71159750,158289892,12001.723,227.923,11758,12362,3593.62,3596.34,1.36
com-orkut.ungraph.txt.metis,256,3072441,117185083,3396.971498,0.758935s,71159750,158289892,12001.723,227.923,11758,12362,3597.86,3596.34,1.36
com-orkut.ungraph.txt.metis,256,3072441,117185083,3396.560761,0.732046s,71159750,158289892,12001.723,227.923,11758,12362,3597.53,3596.34,1.36
soc-LiveJournal1.txt.metis,128,4846609,42851237,665.262342,0.224989s,19069849,40235518,37864.133,416.400,37559,39001,786.94,783.36,1.79
soc-LiveJournal1.txt.metis,128,4846609,42851237,661.581627,0.246302s,19069849,40235518,37864.133,416.400,37559,39001,781.33,783.36,1.79
soc-LiveJournal1.txt.metis,128,4846609,42851237,660.408340,0.208126s,19069849,40235518,37864.133,416.400,37559,39001,781.82,783.36,1.79
roadNet-PA.txt.metis,64,1088092,1541898,15.970363,0.003999s,658824,697214,17001.438,10.873,16983,17032,27.835,27.936,0.117
roadNet-PA.txt.metis,64,1088092,1541898,15.943870,0.011998s,658824,697214,17001.438,10.873,16983,17032,27.803,27.936,0.117
roadNet-PA.txt.metis,64,1088092,1541898,16.046131,0.008039s,658824,697214,17001.438,10.873,16983,17032,28.169,27.936,0.117
ydata-yim-friends-graph-v1_0.txt.metis,2,1878736,4079161,3.953984,0.012525s,888563,2257354,939368.000,1.000,939367,939369,7.4738,7.4281,0.0440
ydata-yim-friends-graph-v1_0.txt.metis,2,1878736,4079161,3.733952,0.012011s,888563,2257354,939368.000,1.000,939367,939369,7.3400,7.4281,0.0440
ydata-yim-friends-graph-v1_0.txt.metis,2,1878736,4079161,3.950548,0.008433s,888563,2257354,939368.000,1.000,939367,939369,7.4704,7.4281,0.0440
soc-pokec-relationships.txt.metis,256,1632803,22301964,668.037822,0.135967s,17441059,29060168,6378.137,76.705,6317,6570,748.479,747.226,0.756
soc-pokec-relationships.txt.metis,256,1632803,22301964,667.101207,0.132748s,17441059,29060168,6378.137,76.705,6317,6570,747.334,747.226,0.756
soc-pokec-relationships.txt.metis,256,1632803,22301964,665.643504,0.089615s,17441059,29060168,6378.137,76.705,6317,6570,745.866,747.226,0.756
wiki-topcats.txt.metis,2,1791489,25444207,13.355175,0.189505s,1315224,11634134,895744.500,3022.500,892722,898767,23.1411,23.0202,0.0644
wiki-topcats.txt.metis,2,1791489,25444207,13.233969,0.112226s,1315224,11634134,895744.500,3022.500,892722,898767,22.9211,23.0202,0.0644
wiki-topcats.txt.metis,2,1791489,25444207,13.230813,0.072277s,1315224,11634134,895744.500,3022.500,892722,898767,22.9984,23.0202,0.0644
com-lj.ungraph.txt.metis,8,3997962,34681189,44.653119,0.108583s,6507754,19189098,499745.250,8684.387,494385,514738,65.212,65.844,0.337
com-lj.ungraph.txt.metis,8,3997962,34681189,45.446512,0.181847s,6507754,19189098,499745.250,8684.387,494385,514738,66.365,65.844,0.337
com-lj.ungraph.txt.metis,8,3997962,34681189,45.489556,0.134579s,6507754,19189098,499745.250,8684.387,494385,514738,65.955,65.844,0.337
com-lj.ungraph.txt.metis,4,3997962,34681189,28.331808,0.087154s,4762274,14825968,999490.500,17312.137,989495,1029476,45.267,45.566,0.275
com-lj.ungraph.txt.metis,4,3997962,34681189,28.255612,0.131987s,4762274,14825968,999490.500,17312.137,989495,1029476,45.316,45.566,0.275
com-lj.ungraph.txt.metis,4,3997962,34681189,29.137619,0.107997s,4762274,14825968,999490.500,17312.137,989495,1029476,46.115,45.566,0.275
soc-LiveJournal1.txt.metis,64,4846609,42851237,335.988654,0.227034s,16654048,36112848,75728.266,768.051,73423,78001,407.420,406.537,0.574
soc-LiveJournal1.txt.metis,64,4846609,42851237,335.558124,0.192444s,16654048,36112848,75728.266,768.051,73423,78001,406.730,406.537,0.574
soc-LiveJournal1.txt.metis,64,4846609,42851237,334.272892,0.211995s,16654048,36112848,75728.266,768.051,73423,78001,405.460,406.537,0.574
com-lj.ungraph.txt.metis,256,3997962,34681189,1061.429465,0.189030s,17900213,33808044,15617.039,175.636,15520,16086,1239.92,1235.56,4.83
com-lj.ungraph.txt.metis,256,3997962,34681189,1048.475153,0.203965s,17900213,33808044,15617.039,175.636,15520,16086,1225.92,1235.56,4.83
com-lj.ungraph.txt.metis,256,3997962,34681189,1061.379303,0.217110s,17900213,33808044,15617.039,175.636,15520,16086,1240.85,1235.56,4.83
cit-Patents.txt.metis,8,3774768,16518947,26.806024,0.067907s,10606361,20477474,471846.000,4.822,471839,471855,45.448,45.241,0.104
cit-Patents.txt.metis,8,3774768,16518947,26.578044,0.036001s,10606361,20477474,471846.000,4.822,471839,471855,45.144,45.241,0.104
cit-Patents.txt.metis,8,3774768,16518947,26.541916,0.059996s,10606361,20477474,471846.000,4.822,471839,471855,45.131,45.241,0.104
com-friendster.ungraph.txt.tmp.source_sorted.metis,16,65608366,1806067135,4126.067201,28.816324s,270758721,1660573616,4100522.875,83815.130,4030438,4223539,5389.67,5404.20,12.76
com-friendster.ungraph.txt.tmp.source_sorted.metis,16,65608366,1806067135,4156.876941,27.611242s,270758721,1660573616,4100522.875,83815.130,4030438,4223539,5429.63,5404.20,12.76
com-friendster.ungraph.txt.tmp.source_sorted.metis,16,65608366,1806067135,4122.794208,28.269282s,270758721,1660573616,4100522.875,83815.130,4030438,4223539,5393.30,5404.20,12.76
as-skitter.txt.metis,64,1696415,11095298,87.497729,0.043995s,3284823,11317678,26506.484,574.123,25996,27302,109.9382,109.9852,0.0730
